NAME,KEYS,LINK
Amherst College, , http://www.math.amherst.edu/
Boston University, BU, http://www.bu.edu/math
Boston College, BC, http://www.bc.edu/schools/cas/math/
Brown University, Brown, https://www.math.brown.edu/
CalTech, , http://pma.caltech.edu/content/math
Carnegie Melon University, Carnegie Mellon; CMU, http://www.math.cmu.edu/index.php
Center of Australian Category Theory, CoACT, http://www.mq.edu.au/research/research-centres-groups-and-facilities/innovative-technologies/centres/centre-of-australian-category-theory-coact
Center for Geometry and Physics, CGP, http://cgp.ibs.re.kr/ 
CUNY, , http://math.gc.cuny.edu/index.html
DePaul University, , http://las.depaul.edu/math/
École Polytechnique Fédérale de Lausanne, EPFL, http://sma.epfl.ch/
Fields Institute, , http://www.fields.utoronto.ca/
Freie Universität Berlin, , http://www.mi.fu-berlin.de/en/math/
Georg-August-Universität Göttingen, GAU, http://www.math.uni-goettingen.de/Math-Net/
Georgia Tech, , https://www.math.gatech.edu
Harvard University, Harvard, http://math.harvard.edu/
Hebrew University, Hebrew University of Jerusalem, http://www.math.huji.ac.il/
Indiana University, IU, http://www.math.indiana.edu/
Institute for Advanced Study, IAS, https://www.math.ias.edu/
Johns Hopkins University, JHU, http://www.mathematics.jhu.edu/
Lehigh University, , http://cas.lehigh.edu/casweb/math
Ludwig-Maximilians-Universität, , http://www.mathematik.uni-muenchen.de/
Max Planck Institute, MPI, https://www.mpim-bonn.mpg.de/
Mathematical Institute SANU, , http://www.mi.sanu.ac.rs/
McMaster University, , https://www.math.mcmaster.ca/
Michigan State University, Michigan State University, http://math.msu.edu/
MIT, , http://math.mit.edu/
Montana State University, , http://www.math.montana.edu/
Moscow University, Moscow; MSU, http://www.msu.ru/en/info/struct/depts/mechmath.html
Nagoya University, Nagoya, https://www.math.nagoya-u.ac.jp/
New College of Florida, ,
Northeastern University, Northeastern University, http://www.math.neu.edu/
Northwestern University, Northwestern, http://www.math.northwestern.edu/
Ohio State University, Ohio State, https://math.osu.edu/
Penn State Altoona, , http://math.aa.psu.edu/
Purdue, , http://www.math.purdue.edu
Reed College, Reed, http://www.reed.edu/math/
Stanford University, Stanford,http://math.stanford.edu/
Steklov Mathematical Institute, Steklov, http://www.mi.ras.ru/?l=1
"University of California, Los Angeles", UCLA, https://www.math.ucla.edu/
"University of California, San Diego", UCSD, http://math.ucsd.edu/
University of Illinois at Chicago, UIC , http://www.math.uic.edu/
University of Illinois Urbana-Champaign, UIUC;University of Illinois, http://www.math.uiuc.edu/
Union College, Union College, https://muse.union.edu/mathematics/
Universidade Nova de Lisboa, Universidade Nova de Lisboa, http://www.dmat.fct.unl.pt/
Université de Nice, Université de Nice; Universit\'e de Nice, http://math.unice.fr/
Universität Bonn, University of Bonn; Bonn, http://www.mathematics.uni-bonn.de/
Universität Hamburg, , http://www.math.uni-hamburg.de/
Universität Regensburg, Regensburg, http://www.uni-regensburg.de/mathematik/fakultaet/
"University at Albany, SUNY", University at Albany; SUNY, http://www.albany.edu/math/
University of Bergen, Bergen, http://www.uib.no/en/math
University of British Columbia, UBC, http://www.math.ubc.ca/
University of Cambridge, Cambridge, https://www.maths.cam.ac.uk/
University of Chicago, Chicago; UChicago, http://math.uchicago.edu/
University of Copenhagen, Copenhagen, http://www.math.ku.dk/english/
University of Edinburgh, , http://www.ed.ac.uk/
University of Georgia, , http://www.math.uga.edu/
University of Kentucky, Kentucky; UKY, http://math.as.uky.edu/
University of Louvain, , http://wis.kuleuven.be/?lang=eng
University of Melbourne, Melbourne, http://www.ms.unimelb.edu.au/
University of Michigan, , http://www.lsa.umich.edu/math/
University of Minnesota, Minnesota, http://www.math.umn.edu/
Université de Montpellier, Universite de Montpellier 2, http://www.mathfds.univ-montp2.fr/
University of Nebraska, Nebraska; UNL, http://www.math.unl.edu/
University of New Hampshire, , https://ceps.unh.edu/mathematics-statistics
University of Notre Dame, , http://math.nd.edu/
University of Oregon, , http://math.uoregon.edu/
University of Oslo, Oslo, https://www.mn.uio.no/math/english/
Université du Québec à Montréal, UQAM, http://www.uqam.ca/en/about/presentation_en.htm
University of Rochester, , http://www.math.rochester.edu/
University of San Diego, , http://www.sandiego.edu/cas/math-cs/
University of Southern California, USC,http://math.usc.edu/home/
University of Strasbourg, , http://www-irma.u-strasbg.fr/?lang=en
University of Utrecht, Utrecht, http://www.uu.nl/en/organisation/mathematical-institute
University of Virginia, UVA, http://www.math.virginia.edu/
University of Washington, UW,http://www.math.washington.edu/
University of Western Ontario, UWO, http://www.math.uwo.ca/
UT Austin, University of Texas; Austin, http://math.utexas.edu/
Vassar College, , http://math.vassar.edu/
Wayne State University, Wayne State, http://clas.wayne.edu/math/
Wellesley College, , http://www.wellesley.edu/Math/index.html
Wesleyan University, , http://www.math.wesleyan.edu/
WWU Muenster, , http://wwwmath.uni-muenster.de/
